mode,class_id,split_a,sample_id_a,path_a,split_b,sample_id_b,path_b,phash_hamming_distance,manual_decision,review_notes
PPL,class10,test,Fracture.107,data/raw/PPL/test/class10_cemented_fracture/Fracture.107.jpg,train,Fracture.597,data/raw/PPL/train/class10_cemented_fracture/Fracture.597.jpg,4,distinct_keep,Geometria da fratura e textura da matriz distintas; sem correspondência espacial.
PPL,class10,train,Fracture.1002,data/raw/PPL/train/class10_cemented_fracture/Fracture.1002.jpg,val,Fracture.149,data/raw/PPL/val/class10_cemented_fracture/Fracture.149.jpg,4,distinct_keep,Campos petrográficos distintos; sem correspondência de estruturas.
PPL,class10,train,Fracture.597,data/raw/PPL/train/class10_cemented_fracture/Fracture.597.jpg,val,Fracture.149,data/raw/PPL/val/class10_cemented_fracture/Fracture.149.jpg,4,distinct_keep,Fraturas com trajetórias e matrizes distintas.
PPL,class10,train,Fracture.622,data/raw/PPL/train/class10_cemented_fracture/Fracture.622.jpg,val,Fracture.149,data/raw/PPL/val/class10_cemented_fracture/Fracture.149.jpg,4,distinct_keep,Campo verde granular e campo marrom fraturado são distintos.
PPL,class10,train,Fracture.796,data/raw/PPL/train/class10_cemented_fracture/Fracture.796.jpg,val,Fracture.149,data/raw/PPL/val/class10_cemented_fracture/Fracture.149.jpg,4,distinct_keep,Estruturas e orientação das feições são distintas.
PPL,class17,train,Oolitic.63,data/raw/PPL/train/class17_oolite/Oolitic.63.jpg,val,Oolitic.1,data/raw/PPL/val/class17_oolite/Oolitic.1.jpg,4,distinct_keep,Painéis microscópicos diferentes; pHash dominado pelo grande fundo cinza e pela barra de escala.
XPL,class10,train,Fracture.648,data/raw/XPL/train/class10_cemented_fracture/Fracture.648.jpg,val,Fracture.21,data/raw/XPL/val/class10_cemented_fracture/Fracture.21.jpg,4,distinct_keep,"Textura, iluminação e geometria das fraturas são distintas."
XPL,class10,train,Fracture.753,data/raw/XPL/train/class10_cemented_fracture/Fracture.753.jpg,val,Fracture.21,data/raw/XPL/val/class10_cemented_fracture/Fracture.21.jpg,4,distinct_keep,Trajetória da fratura e feições minerais não correspondem.
XPL,class10,train,Fracture.753,data/raw/XPL/train/class10_cemented_fracture/Fracture.753.jpg,val,Fracture.87,data/raw/XPL/val/class10_cemented_fracture/Fracture.87.jpg,4,distinct_keep,Campos distintos; sem alinhamento espacial das feições.
XPL,class13,train,Micritic_limestone.44,data/raw/XPL/train/class13_micritic_limestone/Micritic_limestone.44.jpg,val,Micritic_limestone.155,data/raw/XPL/val/class13_micritic_limestone/Micritic_limestone.155.jpg,4,distinct_keep,Geometria das feições lineares e aparência da matriz são distintas.
